State,Cong. District,Representative,Party,Leadership,Projects,Total Appropriation
Kentucky,6,Ben Chandler ,Democrat,,5,12704500
Kentucky,Multiple,,,,1,64000
Louisiana,1,Steve Scalise ,Republican,,8,17930039
Louisiana,2,Joseph Cao ,Republican,,16,32368557
Louisiana,3,Charlie Melancon ,Democrat,,4,104851006
Louisiana,4,John Fleming ,Republican,,2,42616296
Louisiana,5,Rodney Alexander ,Republican,,8,18882123
Louisiana,6,Bill Cassidy ,Republican,,0,0
Louisiana,7,"Charles W. Boustany, Jr. ",Republican,,2,22120893
Louisiana,Multiple,,,,1,201104
Maine,1,Chellie Pingree ,Democrat,,34,57547336
Maine,2,Mike Michaud ,Democrat,,37,73204696
Maryland,1,"Frank M. Kratovil, Jr. ",Democrat,,16,40518679
Maryland,2,C. A. Dutch Ruppersberger ,Democrat,,7,33033944
Maryland,3,John Sarbanes ,Democrat,,3,19837762
Maryland,4,Donna Edwards ,Democrat,,10,27101540
Maryland,5,Steny Hoyer ,Democrat,,8,28979123
Maryland,6,Roscoe Bartlett ,Republican,,20,42523379
Maryland,7,Elijah E. Cummings ,Democrat,,2,9765463
Maryland,8,"Chris Van Hollen, Jr. ",Democrat,,2,16105405
Maryland,Multiple,,,,38,91787291
Massachusetts,1,John W. Olver ,Democrat,,11,33302315
Massachusetts,2,Richard E. Neal ,Democrat,,1,2499054
Massachusetts,3,Jim McGovern ,Democrat,,2,7894090
Massachusetts,4,Barney Frank ,Democrat,,1,5857100
Massachusetts,5,Niki Tsongas ,Democrat,,3,14729000
Massachusetts,6,John Tierney ,Democrat,,1,3587090
Massachusetts,7,Ed Markey ,Democrat,,2,5570950
Massachusetts,8,Michael E. Capuano ,Democrat,,0,0
Massachusetts,9,Stephen F. Lynch ,Democrat,,2,7995150
Massachusetts,10,Bill Delahunt ,Democrat,,4,12811900
Massachusetts,Multiple,,,,4,83992109
Michigan,1,Bart Stupak ,Democrat,,41,34637084
Michigan,2,Pete Hoekstra ,Republican,,28,20434951
Michigan,3,Vern Ehlers ,Republican,,21,13076720
Michigan,4,Dave Camp ,Republican,,26,34051317
Michigan,5,Dale E. Kildee ,Democrat,,9,10864393
Michigan,6,Fred Upton ,Republican,,29,82121852
Michigan,7,Mark Schauer ,Democrat,,32,30388727
Michigan,8,Mike Rogers ,Republican,,20,64195732
Michigan,9,Gary Peters ,Democrat,,11,86153550
Michigan,10,Candice Miller ,Republican,,18,11215708
Michigan,11,Thaddeus McCotter ,Republican,,0,0
Michigan,12,Sandy Levin ,Democrat,,0,0
Michigan,13,Carolyn Kilpatrick ,Democrat,,13,32294556
Michigan,14,"John Conyers, Jr. ",Democrat,,0,0
Michigan,15,John D. Dingell ,Democrat,,0,0
Michigan,Multiple,,,,5,8869248
Minnesota,1,Tim Walz ,Democrat,,18,62299247
Minnesota,2,John Kline ,Republican,,4,8800795
Minnesota,3,Erik Paulsen ,Republican,,4,60884303
Minnesota,4,Betty McCollum ,Democrat,,0,0
Minnesota,5,Keith Ellison ,Democrat,,3,10054274
Minnesota,6,Michele Bachmann ,Republican,,7,22405344
Minnesota,7,Collin Peterson ,Democrat,,36,62138387
Minnesota,8,Jim Oberstar ,Democrat,,27,82048613
Minnesota,Multiple,,,,16,29406968
Mississippi,1,Travis W. Childers ,Democrat,,18,61652000
Mississippi,2,Bennie Thompson ,Democrat,,14,35774320
Mississippi,3,Gregg Harper ,Republican,,20,135322938
Mississippi,4,Gene Taylor ,Democrat,,7,43403400
Missouri,1,"William Lacy Clay, Jr. ",Democrat,,3,7077904
Missouri,2,Todd Akin ,Republican,,6,62228816
Missouri,3,Russ Carnahan ,Democrat,,4,1436430
Missouri,4,Ike Skelton ,Democrat,,32,65185900
Missouri,5,"Emanuel Cleaver, II ",Democrat,,0,0
Missouri,6,Sam Graves ,Republican,,26,59362780
Missouri,7,Roy Blunt ,Republican,,20,44077049
Missouri,8,Jo Ann Emerson ,Republican,,22,76268146
Missouri,9,Blaine Luetkemeyer ,Republican,,22,70171044
Missouri,Multiple,,,,2,6458400
Montana,1,Dennis Rehberg ,Republican,,54,98748520
N Mariana,,Del. Gregorio Sablan,Independent,,1,450000
Nebraska,1,Jeff Fortenberry ,Republican,,8,23503695
Nebraska,2,Lee Terry ,Republican,,1,18737482
Nebraska,3,Adrian Smith ,Republican,,21,68372173
Nevada,1,Shelley Berkley ,Democrat,,1,6450944
Nevada,2,Dean Heller ,Republican,,11,49609770
Nevada,3,Dina Titus ,Democrat,,0,0
Nevada,Multiple,,,,1,15227825
